params,values
ec50,46.727029729999074
ec50.ci.lower,42.20354818129522
ec50.ci.upper,51.73534931254703
ec10,29.55124182065185
ec10.ci.lower,20.72531118815571
ec10.ci.upper,42.135719228269565
slope,-4.795359015428134
slope.ci.lower,-8.008537555085386
slope.ci.upper,-1.582180475770882
ntc,NA
confidence.level,0.95
