log.concentration,curve.predict,ci.values
-0.6343815006109023,100,1.1762013115308606e-23
-0.6321699298742602,100,1.2860288253865315e-23
-0.6299583591376181,100,1.406108121502984e-23
-0.6277467884009761,100,1.537395823478319e-23
-0.625535217664334,100,1.6809377889953567e-23
-0.6233236469276919,100,1.8378774305737027e-23
-0.6211120761910498,100,2.0094648119083407e-23
-0.6189005054544078,100,2.197066592059737e-23
-0.6166889347177658,100,2.402176896490985e-23
-0.6144773639811236,100,2.626429201304344e-23
-0.6122657932444816,100,2.871609325071304e-23
-0.6100542225078395,100,3.13966963144213e-23
-0.6078426517711975,100,3.432744555327789e-23
-0.6056310810345553,100,3.7531675759519864e-23
-0.6034195102979133,100,4.1034897715518877e-23
-0.6012079395612713,100,4.4865001030541074e-23
-0.5989963688246291,100,4.905247587772447e-23
-0.5967847980879871,100,5.363065539166425e-23
-0.594573227351345,100,5.863598065088835e-23
-0.592361656614703,100,6.410829034868015e-23
-0.5901500858780608,100,7.009113745149316e-23
-0.5879385151414188,100,7.663213535826065e-23
-0.5857269444047768,100,8.378333630787678e-23
-0.5835153736681347,100,9.160164503780638e-23
-0.5813038029314926,100,1.0014927097635394e-22
-0.5790922321948505,100,1.0949422255662254e-22
-0.5768806614582085,100,1.1971084757413376e-22
-0.5746690907215664,100,1.308804238751364e-22
-0.5724575199849243,100,1.4309180506156508e-22
-0.5702459492482823,100,1.5644212633473617e-22
-0.5680343785116402,100,1.7103757607649585e-22
-0.5658228077749982,100,1.8699423928757142e-22
-0.563611237038356,100,2.0443901957224768e-22
-0.561399666301714,100,2.235106469810117e-22
-0.5591880955650719,100,2.4436077970304295e-22
-0.5569765248284299,100,2.671552083439589e-22
-0.5547649540917878,100,2.9207517233712133e-22
-0.5525533833551457,100,3.193187989248554e-22
-0.5503418126185037,100,3.4910267611704446e-22
-0.5481302418818615,100,3.816635720957124e-22
-0.5459186711452195,100,4.172603146938718e-22
-0.5437071004085774,100,4.561758458449234e-22
-0.5414955296719354,100,4.987194672841507e-22
-0.5392839589352934,100,5.452292952983855e-22
-0.5370723881986512,100,5.960749439750722e-22
-0.5348608174620092,100,6.516604582108623e-22
-0.5326492467253671,100,7.124275197171868e-22
-0.530437675988725,100,7.788589514210957e-22
-0.5282261052520829,100,8.514825480216764e-22
-0.5260145345154409,100,9.308752630432925e-22
-0.5238029637787989,100,1.0176677855488222e-21
-0.5215913930421567,100,1.1125495427588122e-21
-0.5193798223055147,100,1.2162741681928166e-21
-0.5171682515688726,100,1.3296654786327598e-21
-0.5149566808322306,100,1.4536240072325767e-21
-0.5127451100955885,100,1.5891341444990819e-21
-0.5105335393589464,100,1.737271943676535e-21
-0.5083219686223044,100,1.899213652322319e-21
-0.5061103978856623,100,2.076245037605241e-21
-0.5038988271490202,100,2.2697715791337195e-21
-0.5016872564123782,100,2.4813296099818974e-21
-0.4994756856757361,100,2.712598494078405e-21
-0.497264114939094,100,2.9654139363166264e-21
-0.4950525442024519,100,3.241782530699391e-21
-0.4928409734658099,100,3.543897661617878e-21
-0.4906294027291678,100,3.8741568840603254e-21
-0.48841783199252575,100,4.235180920233079e-21
-0.4862062612558837,100,4.629834422853812e-21
-0.4839946905192416,100,5.061248669333737e-21
-0.4817831197825995,100,5.5328463663250164e-21
-0.47957154904595745,100,6.048368760782875e-21
-0.4773599783093154,100,6.6119052719115644e-21
-0.4751484075726733,100,7.22792587828027e-21
-0.47293683683603127,100,7.901316516155143e-21
-0.4707252660993892,100,8.637417768875703e-21
-0.4685136953627471,100,9.442067153098393e-21
-0.4663021246261051,100,1.0321645336128525e-20
-0.46409055388946296,100,1.1283126649605487e-20
-0.46187898315282094,100,1.233413429872472e-20
-0.4596674124161788,100,1.3483000703251862e-20
-0.4574558416795368,100,1.4738833447090494e-20
-0.4552442709428947,100,1.6111587357439398e-20
-0.45303270020625264,100,1.7612143282947956e-20
-0.4508211294696106,100,1.9252394193148252e-20
-0.4486095587329685,100,2.1045339279216026e-20
-0.44639798799632646,100,2.300518679924183e-20
-0.4441864172596844,100,2.5147466480187952e-20
-0.4419748465230423,100,2.748915236410116e-20
-0.43976327578640023,100,3.004879706852641e-20
-0.43755170504975816,100,3.284667852111169e-20
-0.43534013431311613,100,3.590496032676339e-20
-0.433128563576474,100,3.924786703321492e-20
-0.430916992839832,100,4.290187567836638e-20
-0.4287054221031899,100,4.689592513110461e-20
-0.4264938513665478,100,5.126164487761017e-20
-0.42428228062990575,100,5.603360505843625e-20
-0.4220707098932637,100,6.124958972915689e-20
-0.41985913915662165,100,6.695089550041425e-20
-0.4176475684199795,100,7.318265791320178e-20
-0.4154359976833375,100,7.999420812378268e-20
-0.4132244269466954,100,8.743946271144874e-20
-0.41101285621005335,100,9.557734968329896e-20
-0.40880128547341127,100,1.0447227403534588e-19
-0.4065897147367692,100,1.1419462654085526e-19
-0.40437814400012717,100,1.2482133977730284e-19
-0.40216657326348504,100,1.364364957753054e-19
-0.399955002526843,100,1.4913199007945673e-19
-0.39774343179020094,100,1.6300825745513033e-19
-0.39553186105355886,100,1.7817506496063595e-19
-0.3933202903169168,100,1.9475237863451673e-19
-0.3911087195802747,100,2.128713106271229e-19
-0.3888971488436327,100,2.3267515423884353e-19
-0.38668557810699056,100,2.5432051501915077e-19
-0.38447400737034854,100,2.7797854683647648e-19
-0.38226243663370646,100,3.038363026550049e-19
-0.3800508658970644,100,3.3209821065676624e-19
-0.3778392951604223,100,3.629876873335753e-19
-0.37562772442378023,100,3.9674890025067125e-19
-0.3734161536871382,100,4.3364869436115346e-19
-0.37120458295049613,100,4.739786970364078e-19
-0.36899301221385405,100,5.180576183830917e-19
-0.366781441477212,100,5.662337649527446e-19
-0.3645698707405699,100,6.188877866274949e-19
-0.3623583000039278,100,6.764356782986243e-19
-0.36014672926728575,100,7.393320599571635e-19
-0.3579351585306437,100,8.080737610038193e-19
-0.35572358779400165,100,8.832037369764148e-19
