params,values
ec50,1.8196058275074714
ec50.ci.lower,1.6491642291570936
ec50.ci.upper,2.007662614166341
ec10,1.5510671636488729
ec10.ci.lower,1.2200641863927078
ec10.ci.upper,1.9718711302090381
slope,-13.760324499935457
slope.ci.lower,-26.972580646884317
slope.ci.upper,-0.5480683529865953
ntc,NA
confidence.level,0.95
