params,values
ec50,2.2599949420390404
ec50.ci.lower,2.056780730802497
ec50.ci.upper,2.4832871397279255
ec10,1.312388273019799
ec10.ci.lower,1.0157535411557532
ec10.ci.upper,1.6956504795446123
slope,-4.0426075682897595
slope.ci.lower,-5.665335289567558
slope.ci.upper,-2.419879847011961
ntc,NA
confidence.level,0.95
