log.concentration,curve.predict,ci.values
-1.3265466442199436,100,3.3954287666922074e-105
-1.3228282594470397,100,4.942354179833344e-105
-1.3191098746741357,100,7.194030930428825e-105
-1.3153914899012316,100,1.0471524898770342e-104
-1.3116731051283277,100,1.5242168186368423e-104
-1.3079547203554238,100,2.218619152161772e-104
-1.3042363355825197,100,3.2293710840571654e-104
-1.3005179508096156,100,4.700589551497095e-104
-1.2967995660367118,100,6.842044450937114e-104
-1.2930811812638079,100,9.959066478940062e-104
-1.2893627964909038,100,1.449607905378015e-103
-1.2856444117179997,100,2.109996044509437e-103
-1.2819260269450958,100,3.0712269236083273e-103
-1.278207642172192,100,4.47034809594726e-103
-1.2744892573992879,100,6.506837273880656e-103
-1.2707708726263838,100,9.471040975410096e-103
-1.26705248785348,100,1.3785567491777955e-102
-1.263334103080576,100,2.0065534985076355e-102
-1.259615718307672,100,2.9206263340945125e-102
-1.2558973335347678,100,4.251091049129175e-102
-1.252178948761864,100,6.187624791859546e-102
-1.24846056398896,100,9.006305757553905e-102
-1.244742179216056,100,1.3108969478629274e-101
-1.241023794443152,100,1.9080491815800682e-101
-1.237305409670248,100,2.777216405261296e-101
-1.2335870248973442,100,4.0423044662999523e-101
-1.22986864012444,100,5.883658545472012e-101
-1.226150255351536,100,8.563770842335852e-101
-1.2224318705786321,100,1.246469767090147e-100
-1.2187134858057282,100,1.814251928913101e-100
-1.2149951010328242,100,2.640660492063013e-100
-1.21127671625992,100,3.8434980920518497e-100
-1.2075583314870162,100,5.594224577437752e-100
-1.2038399467141123,100,8.142396496996956e-100
-1.2001215619412082,100,1.1851237911646425e-99
-1.1964031771683041,100,1.7249412348547357e-99
-1.1926847923954003,100,2.5106374738576684e-99
-1.1889664076224964,100,3.6542042812878253e-99
-1.1852480228495923,100,5.318641860943967e-99
-1.1815296380766882,100,7.741190949865857e-99
-1.1778112533037843,100,1.126714589607669e-98
-1.1740928685308805,100,1.6399067672530285e-98
-1.1703744837579764,100,2.386841047017825e-98
-1.1666560989850723,100,3.473976968876673e-98
-1.1629377142121684,100,5.0562607988978336e-98
-1.1592193294392645,100,7.359208204443955e-98
-1.1555009446663604,100,1.0711043987681854e-97
-1.1517825598934563,100,1.5589479037100643e-97
-1.1480641751205525,100,2.268979049462892e-97
-1.1443457903476486,100,3.302390685803101e-97
-1.1406274055747445,100,4.806461790908173e-97
-1.1369090208018404,100,6.995545952156398e-97
-1.1331906360289365,100,1.0181618178060734e-96
-1.1294722512560327,100,1.4818732887678723e-96
-1.1257538664831286,100,2.1567728156829927e-96
-1.1220354817102245,100,3.1390396197366566e-96
-1.1183170969373206,100,4.568653864965745e-96
-1.1145987121644167,100,6.649343579339215e-96
-1.1108803273915127,100,9.677615184026855e-96
-1.1071619426186086,100,1.4085004110918178e-95
-1.1034435578457047,100,2.0499565608909036e-95
-1.0997251730728008,100,2.983536718025015e-95
-1.0960067882998967,100,4.342273370922954e-95
-1.0922884035269926,100,6.319780264252902e-95
-1.0885700187540888,100,9.197839675842284e-95
-1.084851633981185,100,1.338655199753321e-94
-1.0811332492082808,100,1.9482767929957733e-94
-1.0774148644353767,100,2.8355128312168643e-94
-1.0736964796624728,100,4.126782733008273e-94
-1.069978094889569,100,6.006073160078472e-94
-1.0662597101166649,100,8.741151630701377e-94
-1.0625413253437608,100,1.272171638758308e-93
-1.058822940570857,100,1.8514917511526528e-93
-1.055104555797953,100,2.6946158952933406e-93
-1.051386171025049,100,3.921669258726779e-93
-1.0476677862521449,100,5.707475660054089e-93
-1.043949401479241,100,8.306463805858685e-93
-1.040231016706337,100,1.208891399001463e-92
-1.036512631933433,100,1.759370869695949e-92
-1.032794247160529,100,2.5605101508772338e-92
-1.029075862387625,100,3.72644400162047e-92
-1.0253574776147212,100,5.4232757410600325e-92
-1.021639092841817,100,7.892739326030856e-92
-1.017920708068913,100,1.1486634868673105e-91
-1.0142023232960091,100,1.6716942663201984e-91
-1.0104839385231053,100,2.4328753977575805e-91
-1.0067655537502012,100,3.5406406754718293e-91
-1.003047168977297,100,5.1527943821428e-91
-0.9993287842043932,100,7.498989379950401e-91
-0.9956103994314892,100,1.091343908729526e-90
-0.9918920146585852,100,1.5882522534193655e-90
-0.9881736298856812,100,2.3114062831502227e-90
-0.9844552451127773,100,3.363814617646131e-90
-0.9807368603398733,100,4.895384054607865e-90
-0.9770184755669693,100,7.124271021171802e-90
-0.9733000907940653,100,1.0367953506369812e-89
