params,values
ec50,34916.73838088832
ec50.ci.lower,32133.745740255024
ec50.ci.upper,37940.756394051285
ec10,22541.170871410264
ec10.ci.lower,19793.456293244963
ec10.ci.upper,25670.321379269095
slope,-5.020808497807559
slope.ci.lower,-6.218598028861506
slope.ci.upper,-3.8230189667536125
ntc,NA
confidence.level,0.95
