params,values
ec50,240.85046100359014
ec50.ci.lower,221.58734249655777
ec50.ci.upper,261.78816854822395
ec10,154.62416717401118
ec10.ci.lower,118.00318116483255
ec10.ci.upper,202.6100723577936
slope,-4.9578874001289766
slope.ci.lower,-7.428463847106745
slope.ci.upper,-2.487310953151209
ntc,NA
confidence.level,0.95
