params,values
ec50,7.512742049869931
ec50.ci.lower,6.287772727372274
ec50.ci.upper,8.976357059182584
ec10,3.641224419723337
ec10.ci.lower,2.4965697404240714
ec10.ci.upper,5.310692932029786
slope,-3.033647591627398
slope.ci.lower,-4.73959784072485
slope.ci.upper,-1.3276973425299459
ntc,NA
confidence.level,0.95
