params,values
ec50,137.2889827285508
ec50.ci.lower,110.35922098083773
ec50.ci.upper,170.7901216692445
ec10,36.6040524142015
ec10.ci.lower,22.414883446660955
ec10.ci.upper,59.775312074674325
slope,-1.66214220464675
slope.ci.lower,-2.2535109480362814
slope.ci.upper,-1.0707734612572186
ntc,NA
confidence.level,0.95
