params,values
ec50,8.884260415261632e-5
ec50.ci.lower,6.49981141914564e-5
ec50.ci.upper,1.2143442022593286e-4
ec10,1.896871433467332e-5
ec10.ci.lower,1.0081813863990951e-5
ec10.ci.upper,3.568922501094531e-5
slope,-1.4230084895951494
slope.ci.lower,-1.9626607762978552
slope.ci.upper,-0.8833562028924435
ntc,NA
confidence.level,0.95
