params,values
ec50,44.67313483679567
ec50.ci.lower,37.07648126115001
ec50.ci.upper,53.82627769042574
ec10,12.491174553708506
ec10.ci.lower,7.715988686733588
ec10.ci.upper,20.221574715302864
slope,-1.7242204121794553
slope.ci.lower,-2.2730212091069486
slope.ci.upper,-1.1754196152519623
ntc,NA
confidence.level,0.95
