params,values
ec50,4200.06381127655
ec50.ci.lower,3647.8244749074756
ec50.ci.upper,4835.905932464674
ec10,3227.3461082687354
ec10.ci.lower,1720.3038225260618
ec10.ci.upper,6054.606614349692
slope,-8.340499793454367
slope.ci.lower,-24.49325801938934
slope.ci.upper,7.812258432480608
ntc,NA
confidence.level,0.95
