params,values
ec50,8.15709594225383e-5
ec50.ci.lower,0
ec50.ci.upper,Inf
ec10,7.545337605013427e-5
ec10.ci.lower,0
ec10.ci.upper,Inf
slope,-28.21259939903513
slope.ci.lower,-4263604353796983
slope.ci.upper,4263604353796927
ntc,NA
confidence.level,0.95
